combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
0.0,1.0,0.0,0.0,2.018,2.29,0.862
0.0,1.0,0.0,0.0,2.022,3.79,0.18
0.0,1.0,0.0,0.0,2.021,1.75,0.4465
0.0,0.0,0.0,1.0,2.026,1.679,0.0002
0.0,0.0,1.0,0.0,2.015,3.099,0.74602
0.0,1.0,0.0,0.0,2.026,2.25,0.03608
1.0,0.0,0.0,1.0,2.023,2.599,0.00036
1.0,0.0,1.0,0.0,2.007,1.49,1.5
0.0,1.0,0.0,0.0,2.018,2.69,0.66878
0.0,1.0,0.0,0.0,2.021,3.59,0.4386
1.0,1.0,0.0,0.0,2.024,1.8,0.01371
0.0,0.0,1.0,0.0,2.015,2.49,1.11276
0.0,1.0,0.0,0.0,2.024,1.829,0.16
1.0,0.0,1.0,0.0,2.022,3.99,0.59062
1.0,1.0,0.0,0.0,2.013,1.3,1.09113
0.0,1.0,0.0,0.0,2.021,3.899,0.573
0.0,1.0,0.0,0.0,2.018,1.69,0.28
0.0,1.0,0.0,0.0,2.018,2.99,0.67
0.0,1.0,0.0,0.0,2.02,2.89,0.63758
0.0,1.0,0.0,0.0,2.019,3.2,0.449
1.0,0.0,1.0,0.0,2.025,2.349,0.24597
0.0,1.0,0.0,0.0,2.018,3.0,0.87209
0.0,1.0,0.0,0.0,2.023,3.19,0.21191
0.0,1.0,0.0,0.0,2.016,2.29,1.20805
0.0,1.0,0.0,0.0,2.016,1.69,0.76
0.0,1.0,0.0,0.0,2.017,2.49,0.83725
0.0,1.0,0.0,0.0,2.021,2.549,0.234
0.0,1.0,0.0,0.0,2.014,1.59,1.64581
0.0,0.0,1.0,0.0,2.017,1.89,0.83
0.0,0.0,1.0,0.0,2.017,2.75,0.44085
0.0,0.0,1.0,0.0,2.025,2.499,0.13734
0.0,1.0,0.0,0.0,2.025,2.69,0.047
0.0,1.0,0.0,0.0,2.01,1.99,0.86625
0.0,0.0,1.0,0.0,2.026,2.8,0.007
0.0,1.0,0.0,0.0,2.018,3.79,0.5258
0.0,1.0,0.0,0.0,2.02,2.09,0.45972
0.0,1.0,0.0,0.0,2.021,3.69,0.46755
0.0,1.0,0.0,0.0,2.019,1.99,0.77
0.0,0.0,1.0,0.0,2.016,4.49,0.55
0.0,0.0,1.0,0.0,2.021,2.39,0.682
0.0,0.0,1.0,0.0,2.019,1.75,1.55334
0.0,0.0,1.0,0.0,2.022,3.99,0.46861
0.0,1.0,0.0,0.0,2.02,3.2,0.713
1.0,0.0,0.0,1.0,2.023,2.249,0.42859
0.0,1.0,0.0,0.0,2.014,1.39,0.91
1.0,1.0,0.0,0.0,2.023,2.099,0.01653
0.0,1.0,0.0,0.0,2.022,3.09,0.0909
0.0,0.0,0.0,1.0,2.016,1.69,0.699
0.0,0.0,1.0,0.0,2.016,2.15,1.12265
0.0,1.0,0.0,0.0,2.023,1.599,0.3834
0.0,0.0,1.0,0.0,2.018,2.19,0.45
0.0,1.0,0.0,0.0,2.025,3.949,0.004
0.0,1.0,0.0,0.0,2.013,1.19,1.054
0.0,1.0,0.0,0.0,2.025,2.79,0.09801
0.0,1.0,0.0,0.0,2.026,1.999,0.00017
0.0,0.0,1.0,0.0,2.01,2.59,0.74
0.0,0.0,1.0,0.0,2.018,2.49,0.35951
1.0,0.0,0.0,1.0,2.024,1.1,0.41366
1.0,0.0,0.0,1.0,2.024,1.38,0.08
1.0,0.0,0.0,1.0,2.022,1.89,0.40773
0.0,0.0,1.0,0.0,2.026,3.19,0.0
0.0,1.0,0.0,0.0,2.021,3.05,0.415
0.0,1.0,0.0,0.0,2.017,2.159,0.74
0.0,0.0,1.0,0.0,2.025,2.499,0.11977
1.0,1.0,0.0,0.0,2.023,4.499,0.415
1.0,0.0,1.0,0.0,2.024,4.199,0.211
0.0,0.0,1.0,0.0,2.016,2.99,0.63831
0.0,0.0,1.0,0.0,2.024,4.29,0.09664
0.0,0.0,1.0,0.0,2.017,3.0,0.32
1.0,0.0,1.0,0.0,2.015,1.15,0.86592
0.0,1.0,0.0,0.0,2.016,2.49,0.79108
0.0,1.0,0.0,0.0,2.021,4.29,0.4667
0.0,0.0,1.0,0.0,2.02,2.39,0.676
0.0,0.0,0.0,1.0,2.015,0.99,0.464
0.0,1.0,0.0,0.0,2.02,3.09,0.456
0.0,1.0,0.0,0.0,2.026,2.49,0.001
0.0,1.0,0.0,0.0,2.023,2.29,0.1717
0.0,1.0,0.0,0.0,2.02,1.999,0.54
0.0,0.0,0.0,1.0,2.01,0.79,0.93347
0.0,1.0,0.0,0.0,2.018,4.099,0.50717
0.0,1.0,0.0,0.0,2.024,2.299,0.00084
1.0,1.0,0.0,0.0,2.023,3.8,0.52917
0.0,1.0,0.0,0.0,2.013,1.39,1.20968
1.0,0.0,1.0,0.0,2.02,3.39,0.6
0.0,1.0,0.0,0.0,2.02,2.85,0.29685
0.0,0.0,1.0,0.0,2.024,3.49,0.13461
0.0,0.0,0.0,1.0,2.014,1.29,0.87947
0.0,1.0,0.0,0.0,2.018,2.19,0.78
0.0,0.0,1.0,0.0,2.018,2.299,0.455
0.0,1.0,0.0,0.0,2.024,4.399,0.00323
0.0,1.0,0.0,0.0,2.018,2.35,0.81735
1.0,0.0,0.0,1.0,2.025,1.899,0.3
0.0,1.0,0.0,0.0,2.024,3.599,0.242
0.0,0.0,1.0,0.0,2.017,2.19,0.35069
0.0,1.0,0.0,0.0,2.023,1.99,0.178
0.0,1.0,0.0,0.0,2.022,1.69,0.24906
0.0,1.0,0.0,0.0,2.021,2.65,0.70149
0.0,0.0,0.0,1.0,2.012,1.29,0.959
0.0,0.0,1.0,0.0,2.02,2.59,0.79198
1.0,0.0,0.0,1.0,2.022,2.39,0.25801
0.0,1.0,0.0,0.0,2.018,3.99,0.34247
1.0,1.0,0.0,0.0,2.026,1.829,0.00032
0.0,1.0,0.0,0.0,2.019,1.99,0.59986
1.0,1.0,0.0,0.0,2.025,4.5,0.00099
0.0,1.0,0.0,0.0,2.023,1.5,0.85637
0.0,1.0,0.0,0.0,2.024,2.89,0.14114
0.0,1.0,0.0,0.0,2.022,1.89,0.495
0.0,1.0,0.0,0.0,2.011,2.19,1.18
0.0,1.0,0.0,0.0,2.017,3.09,0.74158
0.0,0.0,1.0,0.0,2.016,1.79,0.5138
0.0,1.0,0.0,0.0,2.019,3.29,0.51333
0.0,1.0,0.0,0.0,2.022,2.29,0.355
0.0,1.0,0.0,0.0,2.019,2.099,0.518
1.0,1.0,0.0,0.0,2.023,2.89,0.48084
0.0,0.0,1.0,0.0,2.022,2.69,0.37851
0.0,1.0,0.0,0.0,2.017,1.79,0.86559
0.0,1.0,0.0,0.0,2.014,1.25,1.00795
1.0,0.0,0.0,1.0,2.026,3.249,0.019
0.0,1.0,0.0,0.0,2.022,2.49,0.533
0.0,0.0,0.0,1.0,2.016,0.999,0.56
