anio,precio,kilometraje,transmision,combustible
2019.0,34900.0,89435.0,Automática - Secuencial,Gasolina
2018.0,26990.0,106804.0,Automática - Secuencial,Gasolina
2020.0,20900.0,76000.0,Automática - Secuencial,Gasolina
2022.0,36990.0,4750.0,Automática - Secuencial,Gasolina
2016.0,22500.0,85783.0,Automática,Gasolina
2020.0,29900.0,36766.0,Automática,Gasolina
2025.0,21900.0,321.0,Mecánica,Otros
2022.0,27900.0,77000.0,Automática - Secuencial,Gasolina
2024.0,45000.0,15500.0,Automática,Gasolina
2018.0,22900.0,86200.0,Automática,Gasolina
2022.0,37900.0,18000.0,Automática,Gasolina
2021.0,17500.0,44650.0,Automática,Gasolina
2026.0,16790.0,20.0,Mecánica,Gasolina
2015.0,30990.0,74602.0,Automática - Secuencial,Gasolina
2026.0,22500.0,3608.0,Automática,Gasolina
2023.0,25990.0,36.0,Mecánica,Otros
2007.0,14900.0,150000.0,Automática - Secuencial,Otros
2018.0,26900.0,66878.0,Automática,Gasolina
2021.0,35900.0,43860.0,Automática,Gasolina
2024.0,18000.0,1371.0,Automática,Otros
2015.0,24900.0,111276.0,Automática - Secuencial,Gasolina
2024.0,18290.0,16000.0,Automática,Gasolina
2022.0,39900.0,59062.0,Automática - Secuencial,Otros
2013.0,13000.0,109113.0,Automática,Otros
2021.0,38990.0,57300.0,Automática,Gasolina
2018.0,16900.0,28000.0,Automática,Gasolina
2018.0,29900.0,67000.0,Automática,Gasolina
2020.0,28900.0,63758.0,Automática,Gasolina
2019.0,32000.0,44900.0,Automática,Gasolina
2025.0,23490.0,24597.0,Automática - Secuencial,Otros
2018.0,30000.0,87209.0,Automática,Gasolina
2023.0,31900.0,21191.0,Automática,Gasolina
2016.0,22900.0,120805.0,Automática,Gasolina
2016.0,16900.0,76000.0,Automática,Gasolina
2017.0,24900.0,83725.0,Automática,Gasolina
2021.0,25490.0,23400.0,Automática,Gasolina
2014.0,15900.0,164581.0,Automática,Gasolina
2017.0,18900.0,83000.0,Automática - Secuencial,Gasolina
2017.0,27500.0,44085.0,Automática - Secuencial,Gasolina
2025.0,24990.0,13734.0,Automática - Secuencial,Gasolina
2025.0,26900.0,4700.0,Automática,Gasolina
2010.0,19900.0,86625.0,Automática,Gasolina
2026.0,28000.0,700.0,Automática - Secuencial,Gasolina
2018.0,37900.0,52580.0,Automática,Gasolina
2020.0,20900.0,45972.0,Automática,Gasolina
2021.0,36900.0,46755.0,Automática,Gasolina
2019.0,19900.0,77000.0,Automática,Gasolina
2016.0,44900.0,55000.0,Automática - Secuencial,Gasolina
2021.0,23900.0,68200.0,Automática - Secuencial,Gasolina
2019.0,17500.0,155334.0,Automática - Secuencial,Gasolina
2022.0,39900.0,46861.0,Automática - Secuencial,Gasolina
2020.0,32000.0,71300.0,Automática,Gasolina
2023.0,22490.0,42859.0,Mecánica,Otros
2014.0,13900.0,91000.0,Automática,Gasolina
2023.0,20990.0,1653.0,Automática,Otros
2022.0,30900.0,9090.0,Automática,Gasolina
2016.0,16900.0,69900.0,Mecánica,Gasolina
2016.0,21500.0,112265.0,Automática - Secuencial,Gasolina
2023.0,15990.0,38340.0,Automática,Gasolina
2018.0,21900.0,45000.0,Automática - Secuencial,Gasolina
2025.0,39490.0,400.0,Automática,Gasolina
2013.0,11900.0,105400.0,Automática,Gasolina
2025.0,27900.0,9801.0,Automática,Gasolina
2026.0,19990.0,17.0,Automática,Gasolina
2010.0,25900.0,74000.0,Automática - Secuencial,Gasolina
2018.0,24900.0,35951.0,Automática - Secuencial,Gasolina
2024.0,11000.0,41366.0,Mecánica,Otros
2024.0,13800.0,8000.0,Mecánica,Otros
2022.0,18900.0,40773.0,Mecánica,Otros
2026.0,31900.0,0.0,Automática - Secuencial,Gasolina
2021.0,30500.0,41500.0,Automática,Gasolina
2017.0,21590.0,74000.0,Automática,Gasolina
2025.0,24990.0,11977.0,Automática - Secuencial,Gasolina
2023.0,44990.0,41500.0,Automática,Otros
2024.0,41990.0,21100.0,Automática - Secuencial,Otros
2016.0,29900.0,63831.0,Automática - Secuencial,Gasolina
2024.0,42900.0,9664.0,Automática - Secuencial,Gasolina
2017.0,30000.0,32000.0,Automática - Secuencial,Gasolina
2015.0,11500.0,86592.0,Automática - Secuencial,Otros
2016.0,24900.0,79108.0,Automática,Gasolina
2021.0,42900.0,46670.0,Automática,Gasolina
2020.0,23900.0,67600.0,Automática - Secuencial,Gasolina
2015.0,9900.0,46400.0,Mecánica,Gasolina
2020.0,30900.0,45600.0,Automática,Gasolina
2026.0,24900.0,100.0,Automática,Gasolina
2023.0,22900.0,17170.0,Automática,Gasolina
2020.0,19990.0,54000.0,Automática,Gasolina
2010.0,7900.0,93347.0,Mecánica,Gasolina
2018.0,40990.0,50717.0,Automática,Gasolina
2024.0,22990.0,84.0,Automática,Gasolina
2023.0,38000.0,52917.0,Automática,Otros
2013.0,13900.0,120968.0,Automática,Gasolina
2020.0,33900.0,60000.0,Automática - Secuencial,Otros
2020.0,28500.0,29685.0,Automática,Gasolina
2024.0,34900.0,13461.0,Automática - Secuencial,Gasolina
2014.0,12900.0,87947.0,Mecánica,Gasolina
2018.0,21900.0,78000.0,Automática,Gasolina
2018.0,22990.0,45500.0,Automática - Secuencial,Gasolina
2024.0,43990.0,323.0,Automática,Gasolina
2018.0,23500.0,81735.0,Automática,Gasolina
2025.0,18990.0,30000.0,Mecánica,Otros
2024.0,35990.0,24200.0,Automática,Gasolina
2017.0,21900.0,35069.0,Automática - Secuencial,Gasolina
2023.0,19900.0,17800.0,Automática,Gasolina
2022.0,16900.0,24906.0,Automática,Gasolina
2021.0,26500.0,70149.0,Automática,Gasolina
2012.0,12900.0,95900.0,Mecánica,Gasolina
2020.0,25900.0,79198.0,Automática - Secuencial,Gasolina
2022.0,23900.0,25801.0,Mecánica,Otros
2018.0,39900.0,34247.0,Automática,Gasolina
2026.0,18290.0,32.0,Automática,Otros
2019.0,19900.0,59986.0,Automática,Gasolina
2025.0,45000.0,99.0,Automática,Otros
2023.0,15000.0,85637.0,Automática,Gasolina
2024.0,28900.0,14114.0,Automática,Gasolina
2022.0,18900.0,49500.0,Automática,Gasolina
2011.0,21900.0,118000.0,Automática,Gasolina
