url_anuncio,imagen_auto,marca,titulo,anio,precio,kilometraje,transmision,combustible
https://neoauto.com/auto/seminuevo/mercedes-benz-gle-63-s-amg-2017-1852112,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_5107061.webp,Mercedes-Benz,Mercedes Benz Gle 63 S Amg 2017,2017,"US$59,900","55,724 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/honda-wr-v-2020-1868811,https://cdn.neoauto.com/elements/autos_usados/360x240/257099/257099_4368382.webp,Honda,Honda Wr-V 2020,2020,"US$13,900","31,000 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/jetour-traveller-2025-1869100,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2800117.webp,Jetour,Jetour Traveller 2025,2025,"US$32,900","10,400 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/lexus-lx-570-2017-1866972,https://cdn.neoauto.com/elements/autos_usados/360x240/749844/749844_3867005.webp,Lexus,Lexus Lx 570 2017,2017,"US$55,900","78,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/porsche-cayenne-gts-2025-1865406,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_7773922.webp,Porsche,Porsche Cayenne Gts 2025,2025,"US$169,990","6,500 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/maserati-ghibli-2019-1866460,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_2431369.webp,Maserati,Maserati Ghibli 2019,2019,"US$48,500","37,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/audi-a5-sportback-2024-1867897,https://cdn.neoauto.com/elements/autos_usados/360x240/747531/747531_6160591.webp,Audi,Audi A5 Sportback 2024,2024,"US$49,500","15,700 km",Automática - Secuencial,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/ford-ranger-raptor-2024-1869082,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_3150603.webp,Ford,Ford Ranger Raptor 2024,2024,"US$63,900","1,680 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-sprinter-2010-1864626,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_4407277.webp,Mercedes-Benz,Mercedes-Benz Sprinter 2010,2010,"US$16,990","284,708 km",Mecánica,Diesel
https://neoauto.com/auto/seminuevo/lexus-rx-350-f-sport-2017-1865173,https://cdn.neoauto.com/elements/autos_usados/360x240/659946/659946_9405335.webp,Lexus,Lexus Rx 350 F-Sport 2017,2017,"US$27,990","89,740 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volvo-xc-60-2020-1857162,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_4258445.webp,Volvo,Volvo Xc-60 2020,2020,"US$36,900","78,855 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/toyota-corolla-2025-1861926,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_4883455.webp,Toyota,Toyota Corolla 2025,2025,"US$26,900",48 km,Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/mercedes-benz-a-200-2022-1867475,https://cdn.neoauto.com/elements/autos_usados/360x240/708742/708742_6551005.webp,Mercedes-Benz,Mercedes-Benz A200 2022,2022,"US$21,990","37,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/land-rover-range-roger-velar-2025-1853185,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_7705574.webp,Land Rover,Land Rover Range Rover Velar 2025,2025,"US$119,900","1,326 km",Automática - Secuencial,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/mitsubishi-l200-2022-1867585,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_8201180.webp,Mitsubishi,Mitsubishi L200 2022,2022,"US$19,900","70,000 km",Mecánica,Diesel
https://neoauto.com/auto/seminuevo/mercedes-benz-cle-300-coupe-2024-1863388,https://cdn.neoauto.com/elements/autos_usados/360x240/747531/747531_2453135.webp,Mercedes-Benz,Mercedes Benz Cle 300 Coupe 2024,2024,"US$76,900","3,300 km",Automática - Secuencial,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/seat-arona-2025-1864924,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_7373936.webp,Seat,Seat Arona 2025,2025,"US$19,900",52 km,Automática,Gasolina
https://neoauto.com/auto/seminuevo/audi-a3-sedan-2019-1846804,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6601488.webp,Audi,Audi A3 Sedan 2019,2019,"US$19,900","45,416 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/hyundai-creta-2023-1869022,https://cdn.neoauto.com/elements/autos_usados/360x240/337014/337014_5286980.webp,Hyundai,Hyundai Creta 2023,2023,"US$19,990","35,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-t-cross-2020-1863577,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_4612338.webp,Volkswagen,Volkswagen T-Cross 2020,2020,"US$15,900","47,069 km",Mecánica,GLP
